Title,Company,Address,Activity Type,About,General Lead Summary,Estimated New Jobs,Timeframe,Created
"Logistics Plus, Inc. - Honolulu, Hawaii  -  -","Logistics Plus, Inc.","Honolulu, Hawaii, United States",New Facility,"Logistics Plus, Inc. is a global leader in transportation, warehousing, and supply chain solutions, recognized for its commitment to excellence and innovative services. 
","Logistics Plus, Inc. has opened a new 75,000-square-foot warehouse in Honolulu, Hawaii, near Sand Island at 2280 Alahao Place. The facility will support storage and distribution needs in the Hawaiian Islands and serve as a staging site for hospitality industry projects. The warehouse expands Logistics Plus’ offerings in Hawaii, where it has operated since late 2022. With this addition, the company now manages nearly 10 million square feet of warehousing across North America and other global locations. Logistics Plus continues to grow as a leading transportation, logistics, and supply chain solutions provider.

",,Undetermined,"By La'Teef Hicks on Mar 10, 2025"
"Karat Packaging - Chino, California  -  -",Karat Packaging,"Chino, California, United States",Lease,"​Karat Packaging Inc., established in 2000, is a U.S.-based manufacturer and distributor of single-use disposable products for the restaurant and foodservice industries. The company offers a diverse range of products, including food packaging, containers, tableware, cups, lids, cutlery, and straws, available in materials such as plastic, paper, bagasse, and compostable options","Karat Packaging has signed a lease for a new 187,000 square-foot warehouse and distribution center in Chino, California, near its headquarters. This expansion will nearly double the company's inventory capacity in the state, adding approximately 500 new paper product SKUs while improving operating efficiencies. The facility will enhance Southern California's inventory management, delivery times, and third-party logistics services. Additionally, it aims to support growth ahead of the summer peak season, increase wallet share with existing customers, and service more new accounts.",,Current,"By Matt Robbins on Mar 5, 2025"
"Siete Family Foods (PepsiCo) - Buda, Texas  -  -",Siete Family Foods (PepsiCo),"Buda, Texas, United States",Expansion,"​Siete Family Foods is an American company specializing in grain-free and dairy-free Mexican-American food products. Founded in 2014 in Austin, Texas, by Veronica Garza and her family, the company's inception was driven by Veronica's need to manage her autoimmune conditions through dietary changes. This led to the creation of alternative recipes for traditional Mexican staples, such as almond flour tortillas, which quickly gained popularity among health-conscious consumers. ","Siete Family Foods, recently acquired by PepsiCo for $1.2 billion, is expanding its warehouse operations by leasing a 218,000-square-foot facility in Buda, Texas. This move aligns with the company’s plan to vacate its current 70,000-square-foot warehouse in Austin. The new site, part of the Buda Commerce Center, will support warehouse and distribution functions. Buda has become a growing hub for food industry suppliers, attracting companies like US Foods and Night Hawk Frozen Foods. While Siete’s headquarters remains in Austin, ",,Current,"By Matt Robbins on Mar 5, 2025"
"KANSAI HELIOS Coatings GmbH - Johnstown, Ohio  -  -",KANSAI HELIOS Coatings GmbH,"Johnstown, Ohio, United States",New Facility,"KANSAI HELIOS Coatings GmbH is a leading global supplier of industrial coatings, known for its commitment to innovation and sustainability. The company offers a wide range of coatings, including powder and liquid coatings, and is part of the KANSAI PAINT Group, a major player in the paint and coatings industry. 
","Germany-based KANSAI HELIOS Coatings GmbH, a provider of industrial coatings, plans to establish operations in Johnstown, Ohio, with an investment of over $20 million, creating 48 jobs by 2030. The new manufacturing facility will significantly expand the company’s production capacity for specialized powder coatings across North America.

",48,2026 + ,"By La'Teef Hicks on Mar 3, 2025"
"Covestro - Hebron, Ohio  -  -",Covestro,"Hebron, Ohio, 43025, United States",Expansion,Covestro is a leading German company specializing in the production of high-quality polymer materials. They are known for their innovative products and processes that enhance quality of life and drive sustainability efforts globally.,"Covestro, a manufacturer of polyurethane and polycarbonate raw materials, is expanding its operations in Hebron, Ohio, with an investment of over $100 million, creating 24 jobs. The project includes advanced production lines to enhance polycarbonate manufacturing for the automotive, healthcare, and electronics industries in North America. This expansion follows Covestro’s recent $40 million investment in R&D in Pittsburgh, reinforcing the company’s commitment to the U.S. market.",24,Undetermined,"By SmartSuite Form on Mar 3, 2025"
"Stanion Wholesale Electric - Dodge City, Kansas  -  -",Stanion Wholesale Electric,"Dodge City, Kansas, United States",New Facility,"Stanion Wholesale Electric is a full-service wholesale electrical distributor based in Pratt, Kansas, serving customers in Kansas, Missouri, and surrounding states. Founded in 1961, the company is known for its conservative approach and community involvement. 
","Stanion Wholesale Electric, a provider of electrical products and services, has relocated its Dodge City branch to a new warehouse on Wyatt Earp Boulevard. The move enhances product availability, streamlines operations, and provides dedicated job storage space for contractors. The company, which has served the community for 49 years, emphasized its commitment to local growth and development.

",,,"By La'Teef Hicks on Mar 3, 2025"
"Earth Breeze - Harrodsburg, Kentucky  -  -",Earth Breeze,"Harrodsburg, Kentucky, United States",Growth Company,"Earth Breeze is a B Corp company focused on creating sustainable, eco-friendly laundry products. They are known for their commitment to reducing environmental impact and social responsibility, particularly through their donation of laundry detergent to various organizations. 
","Earth Breeze, a producer of environmentally friendly laundry detergent sheets, plans to establish a $5.9 million manufacturing facility in Harrodsburg, Kentucky, creating 226 jobs. The 81,250-square-foot facility will oversee various production processes, including blending, drying, cutting, packaging, order fulfillment, quality control, and research and development. The Kentucky Economic Development Finance Authority has preliminarily approved a 10-year incentive agreement offering up to $2.4 million in tax incentives based on job creation and wage targets.

",226,,"By La'Teef Hicks on Mar 3, 2025"
"Odyssey Logistics  - Charlotte, North Carolina  -  -",Odyssey Logistics ,"Charlotte, North Carolina, United States",New Facility,"Odyssey Logistics & Technology is a global logistics solutions provider known for its multimodal services, including intermodal, rail, trucking, and warehousing. With a freight network exceeding $3B, they offer a range of services to meet diverse global shipping needs.","Odyssey Logistics & Technology, a private logistics solutions provider with $1 billion in annual revenue, has relocated its headquarters from Danbury, Connecticut, to Charlotte, North Carolina. The new corporate office, located on the fifth floor of Whitehall Corporate Center, houses 80 employees, including the executive leadership team, IT, human resources, sales support, and marketing. The move aims to attract talent, reduce costs, and improve access to key supply chain networks. Odyssey, which ranks No. 58 on the Transport Topics Top 100 list, continues its expansion, having made 43 hires in Charlotte last year.",,Current,"By SmartSuite Form on Mar 3, 2025"
"Air Filter Systems, LLC - Bedford, Virginia  -  -","Air Filter Systems, LLC","Bedford, Virginia, 24523, United States",Growth Company,"Air Filter Systems, LLC is a family-owned business that specializes in providing end-to-end sales, installation, and post-sales support for industrial and commercial air filtration equipment. Founded in 1989 by Fred Gabriel, the company has expanded under his son Matt to offer highly customized products and services.","Air Filter Systems, LLC is relocating from Roanoke to Bedford County with a $1.5 million investment, bringing up to 30 jobs over the next three years. The company has purchased an 8.57-acre site in the Montvale Center for Commerce, where it will construct a 20,000-square-foot corporate office, warehouse, and distribution center. Fifteen existing Roanoke jobs will move to the new location, with 15 additional hires planned, primarily technicians earning an average salary of $55,000. The facility is expected to be fully operational by spring 2026.",15,2026 + ,"By SmartSuite Form on Mar 3, 2025"
"De Angeli Prodotti USA Corp. - London, Ohio  -  -",De Angeli Prodotti USA Corp.,"London, Ohio, United States",New Facility,"De Angeli Prodotti is a leading manufacturer of copper and aluminum conductors, specializing in electrical and mechanical applications. Known for innovation and sustainable growth, the company is recognized among the 1000 Best Performing Companies of 2024. 
","De Angeli Prodotti USA Corp., a European manufacturer of advanced conductors and wire cables, plans to invest $42 million in its first U.S. facility in London, Ohio, creating 231 full-time jobs with an annual payroll exceeding $12 million. The facility will support the modernization of power transmission infrastructure by producing innovative conductors for overhead power lines, transformers, generators, and motors.

",231,Undetermined,"By La'Teef Hicks on Mar 3, 2025"
